,framework,sample,id,link,number,title,state,locked,created_at,closed_at
54,android,googlesamples/android-testdpc,180373199,https://github.com/googlesamples/android-testdpc/issues/13,13,App management bug,closed,False,2016-09-30 18:37:32,2016-10-03 23:51:46
99,android,googlesamples/android-Camera2Basic,152181240,https://github.com/googlearchive/android-Camera2Basic/issues/41,41,UI thread blocks,closed,True,2016-05-01 07:19:31,2019-09-19 22:57:50
140,android,googlesamples/google-services,150472276,https://github.com/googlesamples/google-services/issues/207,207,R.xml.global_tracker: Cannot resolve symbol 'xml',closed,False,2016-04-22 21:11:53,2016-12-06 21:12:24
159,android,googlesamples/android-play-billing,414082882,https://github.com/android/play-billing-samples/issues/181,181,question,closed,False,2019-02-25 12:32:54,2020-08-18 16:27:24
0,android,googlesamples/android-DelayedConfirmation,158328881,https://github.com/googlearchive/android-DelayedConfirmation/issues/3,3,Application install problem,closed,True,2016-06-03 09:39:17,2016-06-03 09:56:13
2,android,googlesamples/android-MultiWindowPlayground,141129382,https://github.com/googlearchive/android-MultiWindowPlayground/issues/1,1,Add activity with Picture In Picture mode,closed,True,2016-03-15 23:42:42,2016-03-16 18:33:06
26,android,googlesamples/leanback-showcase,295889081,https://github.com/googlearchive/leanback-showcase/issues/53,53,Custom Fragment focus,closed,True,2018-02-09 14:29:58,2019-09-27 18:36:08
1,android,googlesamples/android-Camera2Raw,384033418,https://github.com/googlearchive/android-Camera2Raw/issues/23,23,App crash on both device and AVD at startup,closed,True,2018-11-25 00:04:50,2019-09-19 22:22:50
63,android,googlesamples/android-testdpc,155000341,https://github.com/googlesamples/android-testdpc/issues/4,4,Silent install,closed,False,2016-05-16 10:17:01,2016-05-17 06:32:34
184,android,googlesamples/easypermissions,156078917,https://github.com/googlesamples/easypermissions/issues/20,20,Methods not executing,closed,False,2016-05-21 02:22:36,2016-05-24 02:37:45
33,android,googlesamples/android-Camera2Basic,358881208,https://github.com/googlearchive/android-Camera2Basic/issues/122,122,possible to mix image/video take?,closed,True,2018-09-11 04:22:18,2019-09-19 22:52:11
220,android,googlesamples/google-services,118344425,https://github.com/googlesamples/google-services/issues/106,106,Plus.PeopleApi.getCurrentPerson();  always returns null in 8.3.0,closed,False,2015-11-23 09:26:31,2015-11-23 17:39:45
0,android,googlesamples/android-BasicMultitouch,148836806,https://github.com/googlearchive/android-BasicMultitouch/issues/1,1,why mPoolSize is not initialized?,closed,True,2016-04-16 09:28:00,2017-01-13 15:56:46
1,android,googlesamples/android-testing,811690463,https://github.com/android/testing-samples/issues/364,364,BasicSample doesn't have the common_defs.bzl ,closed,False,2021-02-19 04:58:58,2021-02-19 05:23:40
5,android,googlesamples/android-WatchFace,327966181,https://github.com/googlearchive/android-WatchFace/issues/17,17,Build failed - Dependencies,closed,True,2018-05-31 02:01:19,2019-09-05 18:13:30
